"","industry_section","year","average_migration_rate","industry_section_index","average_grow_rate"
"1","10",2015,166.149090909091,"M",0.124710743801653
"2","10",2016,108.053333333333,"M",-0.101322314049587
"3","10",2017,86.8821212121212,"M",0.302231404958678
"4","10",2018,49.7372727272727,"M",0.262066115702479
"5","10",2019,46.1621212121212,"M",0.118512396694215
"6","103",2015,14.6144444444444,"J",-0.225714285714286
"7","103",2016,34.4688888888889,"J",-0.0845714285714286
"8","103",2017,17.2866666666667,"J",-0.511142857142857
"9","103",2018,16.5444444444444,"J",0.299428571428571
"10","103",2019,25.2455555555556,"J",0.396428571428571
"11","105",2015,136.066176470588,"M",-0.478461538461538
"12","105",2016,108.556176470588,"M",0.44982905982906
"13","105",2017,90.2823529411765,"M",0.488290598290598
"14","105",2018,66.0826470588235,"M",0.25025641025641
"15","105",2019,24.3235294117647,"M",0.304871794871795
"16","106",2015,359.561052631579,"K",3.39666666666667
"17","106",2016,307.421578947368,"K",3.65954545454545
"18","106",2017,288.918421052632,"K",4.15151515151515
"19","106",2018,281.427368421053,"K",3.51287878787879
"20","106",2019,123.588421052632,"K",3.19969696969697
"21","108",2015,133.754736842105,"M",-0.444698795180723
"22","108",2016,128.011052631579,"M",-0.403132530120482
"23","108",2017,114.677368421053,"M",0.147349397590361
"24","108",2018,74.3631578947368,"M",-1.29831325301205
"25","108",2019,62.2105263157895,"M",-0.607469879518072
"26","109",2015,167.959310344828,"J",1.53
"27","109",2016,110.736206896552,"J",0.607391304347826
"28","109",2017,116.804482758621,"J",0.420434782608696
"29","109",2018,115.943103448276,"J",-0.192898550724638
"30","109",2019,49.3320689655172,"J",-0.21304347826087
"31","11",2015,138.85670886076,"M",-0.50125
"32","11",2016,92.6079746835443,"M",-0.24984375
"33","11",2017,61.6783544303797,"M",-0.15359375
"34","11",2018,50.5916455696203,"M",0.205625
"35","11",2019,-4.48037974683544,"M",0.239140625
"36","110",2015,103.986764705882,"M",-0.496470588235294
"37","110",2016,73.8702941176471,"M",-0.785098039215686
"38","110",2017,49.8155882352941,"M",-0.334901960784314
"39","110",2018,61.6408823529412,"M",0.00450980392156863
"40","110",2019,31.1114705882353,"M",-0.0888235294117647
"41","111",2015,93.93,"R",0.255616438356164
"42","111",2016,42.375,"R",0.21041095890411
"43","111",2017,37.505,"R",0.456164383561644
"44","111",2018,44.278,"R",0.143835616438356
"45","111",2019,27.368,"R",0.0641095890410959
"46","112",2015,52.4687878787879,"C",-0.266269841269841
"47","112",2016,24.7607575757576,"C",-0.266269841269841
"48","112",2017,6.01984848484848,"C",0.173888888888889
"49","112",2018,17.8262121212121,"C",-0.216111111111111
"50","112",2019,-10.8181818181818,"C",-0.586428571428571
"51","113",2015,176.502777777778,"J",-0.464698795180723
"52","113",2016,142.891111111111,"J",0.00301204819277109
"53","113",2017,101.672222222222,"J",0.376746987951807
"54","113",2018,133.439444444444,"J",-0.214939759036145
"55","113",2019,60.0555555555556,"J",-0.335542168674699
"56","114",2015,39.93,"M",-0.491176470588235
"57","114",2016,20.24,"M",-1.96470588235294
"58","114",2017,50.17,"M",0.376470588235294
"59","114",2018,14.62,"M",0.917352941176471
"60","114",2019,20.84,"M",0.0541176470588236
"61","115",2015,80.5788888888889,"R",0.0829761904761905
"62","115",2016,87.0933333333333,"R",0.113928571428571
"63","115",2017,41.9955555555556,"R",0.117619047619048
"64","115",2018,59.4983333333333,"R",-0.0746428571428572
"65","115",2019,37.5511111111111,"R",0.378571428571429
"66","117",2015,98.8635294117647,"C",0.768488372093023
"67","117",2016,69.2529411764706,"C",0.731860465116279
"68","117",2017,63.0376470588235,"C",0.862093023255814
"69","117",2018,27.3264705882353,"C",0.046046511627907
"70","117",2019,22.8752941176471,"C",0.00825581395348838
"71","118",2015,242.975,"J",1.99362637362637
"72","118",2016,189.14,"J",2.89197802197802
"73","118",2017,165.98,"J",1.93263736263736
"74","118",2018,153.611875,"J",1.67813186813187
"75","118",2019,129.37625,"J",1.99241758241758
"76","119",2015,54.9428571428572,"J",-0.188620689655172
"77","119",2016,78.3828571428571,"J",1.09775862068966
"78","119",2017,48.4171428571429,"J",1.85551724137931
"79","119",2018,71.0957142857143,"J",-0.218275862068966
"80","119",2019,24.2371428571429,"J",0.641724137931034
"81","12",2015,149.9040625,"M",2.13368421052632
"82","12",2016,134.2065625,"M",1.56663157894737
"83","12",2017,82.6203125,"M",1.098
"84","12",2018,62.6771875,"M",1.13747368421053
"85","12",2019,40.9853125,"M",0.848631578947368
"86","123",2015,165.04975,"M",-2.29918367346939
"87","123",2016,173.8625,"M",-1.10489795918367
"88","123",2017,117.22425,"M",-1.6984693877551
"89","123",2018,157.33825,"M",-1.90836734693878
"90","123",2019,124.71575,"M",-1.98
"91","124",2015,144.724897959184,"R",0.91816
"92","124",2016,98.2636734693878,"R",0.81664
"93","124",2017,55.0351020408163,"R",0.32504
"94","124",2018,61.2304081632653,"R",0.544
"95","124",2019,28.3310204081633,"R",0.38352
"96","126",2015,84.6841463414634,"J",-1.16620689655172
"97","126",2016,49.5921951219512,"J",-1.16681034482759
"98","126",2017,29.4368292682927,"J",-1.635
"99","126",2018,23.430487804878,"J",-1.28508620689655
"100","126",2019,24.2887804878049,"J",-0.743189655172414
"101","127",2015,206.468181818182,"R",1.16215384615385
"102","127",2016,290.241818181818,"R",0.932307692307692
"103","127",2017,167.250909090909,"R",2.02415384615385
"104","127",2018,119.192727272727,"R",1.952
"105","127",2019,124.025454545455,"R",2.28123076923077
"106","129",2015,236.940909090909,"K",1.57968253968254
"107","129",2016,154.377272727273,"K",1.0768253968254
"108","129",2017,164.764545454545,"K",0.736031746031746
"109","129",2018,221.438181818182,"K",0.586825396825397
"110","129",2019,153.136363636364,"K",0.206666666666667
"111","135",2015,99.3433846153846,"M",-0.362682926829268
"112","135",2016,78.1798461538462,"M",0.30869918699187
"113","135",2017,46.7836923076923,"M",0.431544715447155
"114","135",2018,31.2435384615385,"M",0.498130081300813
"115","135",2019,-7.55476923076923,"M",0.000650406504065038
"116","136",2015,77.1891666666667,"M",0.209733333333333
"117","136",2016,44.1933333333333,"M",-0.4884
"118","136",2017,37.8858333333333,"M",-0.628533333333333
"119","136",2018,18.4991666666667,"M",-0.6696
"120","136",2019,33.2966666666667,"M",-0.348666666666667
"121","140",2015,47.13,"M",-0.850833333333333
"122","140",2016,29.93875,"M",-0.0551190476190476
"123","140",2017,49.935,"M",0.258928571428571
"124","140",2018,32.99,"M",0.128809523809524
"125","140",2019,37.755,"M",-0.0189285714285714
"126","144",2015,221.202826086957,"C",2.0218018018018
"127","144",2016,218.203913043478,"C",2.29918918918919
"128","144",2017,96.5176086956522,"C",2.35009009009009
"129","144",2018,81.715652173913,"C",2.18126126126126
"130","144",2019,34.1582608695652,"C",1.49486486486486
"131","145",2015,56.591,"C",-0.142238805970149
"132","145",2016,68.032,"C",0.342388059701493
"133","145",2017,57.964,"C",-0.0974626865671642
"134","145",2018,38.204,"C",-0.0746268656716418
"135","145",2019,30.681,"C",-0.0846268656716418
"136","146",2015,83.4676,"C",1.25087912087912
