country_code,country_name,wb_region,wb_income,isic_section_index,isic_section_name,industry_id,industry_name,growth_rate_2015,growth_rate_2016,growth_rate_2017,growth_rate_2018,growth_rate_2019
ae,United Arab Emirates,Middle East & North Africa,High income,B,Mining and quarrying,56,Mining & Metals,7.80%,5.85%,4.34%,1.00%,-0.06%
ae,United Arab Emirates,Middle East & North Africa,High income,B,Mining and quarrying,57,Oil & Energy,3.30%,1.35%,1.75%,1.85%,2.26%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,15,Pharmaceuticals,17.14%,13.70%,9.06%,4.81%,2.84%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,23,Food Production,6.34%,3.86%,2.21%,0.60%,0.43%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,52,Aviation & Aerospace,9.66%,5.67%,2.87%,1.50%,0.08%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,53,Automotive,7.82%,5.51%,2.98%,0.62%,0.20%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,54,Chemicals,12.64%,9.81%,6.71%,2.93%,1.23%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,55,Machinery,9.71%,7.51%,3.22%,2.37%,0.11%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,58,Shipbuilding,5.26%,2.80%,-0.10%,0.10%,-0.19%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,60,Textiles,10.18%,7.38%,5.11%,-0.86%,-0.43%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,61,Paper & Forest Products,7.41%,7.32%,3.66%,3.93%,3.68%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,83,Printing,4.59%,1.82%,0.40%,0.49%,-0.15%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,112,Electrical & Electronic Manufacturing,8.35%,7.13%,4.41%,1.79%,0.51%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,117,Plastics,2.49%,-0.39%,-2.03%,-2.25%,-1.20%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,144,Renewables & Environment,9.63%,9.80%,8.40%,5.90%,-0.10%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,145,"Glass, Ceramics & Concrete",3.62%,4.45%,3.06%,2.26%,0.84%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,146,Packaging & Containers,9.49%,7.37%,3.69%,2.51%,0.47%
ae,United Arab Emirates,Middle East & North Africa,High income,C,Manufacturing,147,Industrial Automation,10.71%,8.01%,5.28%,4.48%,2.94%
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,3,Computer Hardware,-2.14%,1.49%,-0.81%,-0.81%,-0.13%
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,4,Computer Software,21.52%,18.07%,13.49%,9.04%,3.58%
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,5,Computer Networking,19.41%,5.72%,4.31%,3.58%,5.50%
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,6,Internet,34.94%,26.06%,17.69%,13.28%,10.88%
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,7,Semiconductors,7.08%,4.14%,0.67%,1.01%,-0.99%
ae,United Arab Emirates,Middle East & North Africa,High income,J,Information and communication,8,Telecommunications,11.98%,10.51%,3.73%,2.33%,0.19%
