"","year","isic_section_index","isic_section_name","industry_name","skill_group_category","skill_group_name","skill_group_rank"
"1",2015,"B","Mining and quarrying","Mining & Metals","Specialized Industry Skills","Mining",1
"2",2015,"B","Mining and quarrying","Mining & Metals","Soft Skills","Negotiation",2
"3",2015,"B","Mining and quarrying","Mining & Metals","Business Skills","Project Management",3
"4",2015,"B","Mining and quarrying","Mining & Metals","Business Skills","Business Management",4
"5",2015,"B","Mining and quarrying","Mining & Metals","Specialized Industry Skills","Earth Science",5
"6",2015,"B","Mining and quarrying","Mining & Metals","Business Skills","Manufacturing Operations",6
"7",2015,"B","Mining and quarrying","Mining & Metals","Specialized Industry Skills","Drilling Engineering",7
"8",2015,"B","Mining and quarrying","Mining & Metals","Tech Skills","Digital Literacy",8
"9",2015,"B","Mining and quarrying","Mining & Metals","Specialized Industry Skills","Maintenance & Repair",9
"10",2015,"B","Mining and quarrying","Mining & Metals","Business Skills","Procurement",10
"11",2015,"B","Mining and quarrying","Oil & Energy","Specialized Industry Skills","Oil & Gas",1
"12",2015,"B","Mining and quarrying","Oil & Energy","Specialized Industry Skills","Drilling Engineering",2
"13",2015,"B","Mining and quarrying","Oil & Energy","Specialized Industry Skills","Utilities",3
"14",2015,"B","Mining and quarrying","Oil & Energy","Soft Skills","Negotiation",4
"15",2015,"B","Mining and quarrying","Oil & Energy","Business Skills","Project Management",5
"16",2015,"B","Mining and quarrying","Oil & Energy","Tech Skills","Digital Literacy",6
"17",2015,"B","Mining and quarrying","Oil & Energy","Business Skills","Business Management",7
"18",2015,"B","Mining and quarrying","Oil & Energy","Soft Skills","Teamwork",8
"19",2015,"B","Mining and quarrying","Oil & Energy","Specialized Industry Skills","Construction Engineering",9
"20",2015,"B","Mining and quarrying","Oil & Energy","Soft Skills","Leadership",10
"21",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Pharmaceutics",1
"22",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Pharmaceutical Manufacturing",2
"23",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Oncology",3
"24",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Cardiology",4
"25",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Biomedical Engineering",5
"26",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Neurology",6
"27",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Product Testing",7
"28",2015,"C","Manufacturing","Pharmaceuticals","Business Skills","Product Development",8
"29",2015,"C","Manufacturing","Pharmaceuticals","Specialized Industry Skills","Family Medicine",9
"30",2015,"C","Manufacturing","Pharmaceuticals","Business Skills","Product Marketing",10
"31",2015,"C","Manufacturing","Food Production","Specialized Industry Skills","Food Manufacturing",1
"32",2015,"C","Manufacturing","Food Production","Soft Skills","Negotiation",2
"33",2015,"C","Manufacturing","Food Production","Business Skills","Product Development",3
"34",2015,"C","Manufacturing","Food Production","Specialized Industry Skills","Food Service Operations",4
"35",2015,"C","Manufacturing","Food Production","Business Skills","Product Marketing",5
"36",2015,"C","Manufacturing","Food Production","Specialized Industry Skills","Retail",6
"37",2015,"C","Manufacturing","Food Production","Business Skills","Business Management",7
"38",2015,"C","Manufacturing","Food Production","Soft Skills","Leadership",8
"39",2015,"C","Manufacturing","Food Production","Tech Skills","Digital Literacy",9
"40",2015,"C","Manufacturing","Food Production","Soft Skills","Teamwork",10
"41",2015,"C","Manufacturing","Aviation & Aerospace","Specialized Industry Skills","Air Force",1
"42",2015,"C","Manufacturing","Aviation & Aerospace","Specialized Industry Skills","Airlines",2
"43",2015,"C","Manufacturing","Aviation & Aerospace","Disruptive Tech Skills","Aerospace Engineering",3
"44",2015,"C","Manufacturing","Aviation & Aerospace","Specialized Industry Skills","Aircraft Management",4
"45",2015,"C","Manufacturing","Aviation & Aerospace","Business Skills","Project Management",5
"46",2015,"C","Manufacturing","Aviation & Aerospace","Business Skills","Manufacturing Operations",6
"47",2015,"C","Manufacturing","Aviation & Aerospace","Business Skills","Business Management",7
"48",2015,"C","Manufacturing","Aviation & Aerospace","Tech Skills","Digital Literacy",8
"49",2015,"C","Manufacturing","Aviation & Aerospace","Specialized Industry Skills","Composites",9
"50",2015,"C","Manufacturing","Aviation & Aerospace","Tech Skills","Scientific Computing",10
"51",2015,"C","Manufacturing","Automotive","Specialized Industry Skills","Automotive",1
"52",2015,"C","Manufacturing","Automotive","Soft Skills","Negotiation",2
"53",2015,"C","Manufacturing","Automotive","Soft Skills","Leadership",3
"54",2015,"C","Manufacturing","Automotive","Business Skills","Manufacturing Operations",4
"55",2015,"C","Manufacturing","Automotive","Business Skills","Customer Experience",5
"56",2015,"C","Manufacturing","Automotive","Business Skills","Business Management",6
"57",2015,"C","Manufacturing","Automotive","Business Skills","Product Development",7
"58",2015,"C","Manufacturing","Automotive","Tech Skills","Digital Literacy",8
"59",2015,"C","Manufacturing","Automotive","Business Skills","Product Marketing",9
"60",2015,"C","Manufacturing","Automotive","Soft Skills","Teamwork",10
"61",2015,"C","Manufacturing","Chemicals","Soft Skills","Negotiation",1
"62",2015,"C","Manufacturing","Chemicals","Specialized Industry Skills","Chemical Processing",2
"63",2015,"C","Manufacturing","Chemicals","Business Skills","Product Development",3
"64",2015,"C","Manufacturing","Chemicals","Specialized Industry Skills","Research",4
"65",2015,"C","Manufacturing","Chemicals","Business Skills","Business Management",5
"66",2015,"C","Manufacturing","Chemicals","Soft Skills","Leadership",6
"67",2015,"C","Manufacturing","Chemicals","Business Skills","Manufacturing Operations",7
"68",2015,"C","Manufacturing","Chemicals","Disruptive Tech Skills","Materials Science",8
"69",2015,"C","Manufacturing","Chemicals","Tech Skills","Digital Literacy",9
"70",2015,"C","Manufacturing","Chemicals","Specialized Industry Skills","Oil & Gas",10
"71",2015,"C","Manufacturing","Machinery","Soft Skills","Negotiation",1
"72",2015,"C","Manufacturing","Machinery","Business Skills","Manufacturing Operations",2
"73",2015,"C","Manufacturing","Machinery","Business Skills","Product Development",3
"74",2015,"C","Manufacturing","Machinery","Business Skills","Business Management",4
"75",2015,"C","Manufacturing","Machinery","Tech Skills","Digital Literacy",5
"76",2015,"C","Manufacturing","Machinery","Soft Skills","Leadership",6
"77",2015,"C","Manufacturing","Machinery","Specialized Industry Skills","Architecture",7
"78",2015,"C","Manufacturing","Machinery","Business Skills","Project Management",8
"79",2015,"C","Manufacturing","Machinery","Specialized Industry Skills","Machining",9
"80",2015,"C","Manufacturing","Machinery","Specialized Industry Skills","Drilling Engineering",10
"81",2015,"C","Manufacturing","Textiles","Specialized Industry Skills","Apparel",1
"82",2015,"C","Manufacturing","Textiles","Business Skills","Product Development",2
"83",2015,"C","Manufacturing","Textiles","Soft Skills","Negotiation",3
"84",2015,"C","Manufacturing","Textiles","Specialized Industry Skills","Retail",4
"85",2015,"C","Manufacturing","Textiles","Business Skills","Product Marketing",5
"86",2015,"C","Manufacturing","Textiles","Tech Skills","Digital Literacy",6
"87",2015,"C","Manufacturing","Textiles","Business Skills","Business Management",7
"88",2015,"C","Manufacturing","Textiles","Soft Skills","Leadership",8
"89",2015,"C","Manufacturing","Textiles","Specialized Industry Skills","Recruiting",9
"90",2015,"C","Manufacturing","Textiles","Business Skills","Project Management",10
"91",2015,"C","Manufacturing","Paper & Forest Products","Business Skills","Product Development",1
"92",2015,"C","Manufacturing","Paper & Forest Products","Soft Skills","Negotiation",2
"93",2015,"C","Manufacturing","Paper & Forest Products","Specialized Industry Skills","Chemical Processing",3
"94",2015,"C","Manufacturing","Paper & Forest Products","Business Skills","Manufacturing Operations",4
"95",2015,"C","Manufacturing","Paper & Forest Products","Business Skills","Business Management",5
"96",2015,"C","Manufacturing","Paper & Forest Products","Business Skills","Inside Sales",6
"97",2015,"C","Manufacturing","Paper & Forest Products","Business Skills","Project Management",7
"98",2015,"C","Manufacturing","Paper & Forest Products","Specialized Industry Skills","Forestry",8
"99",2015,"C","Manufacturing","Paper & Forest Products","Tech Skills","Digital Literacy",9
"100",2015,"C","Manufacturing","Paper & Forest Products","Business Skills","Procurement",10
"101",2015,"C","Manufacturing","Printing","Specialized Industry Skills","Printing",1
"102",2015,"C","Manufacturing","Printing","Specialized Industry Skills","Retail Packaging",2
"103",2015,"C","Manufacturing","Printing","Tech Skills","Graphic Design",3
