"","skill_group_category","skill_group_name","section_name","industry_name","penetration_rate_2015","penetration_rate_2016","penetration_rate_2017","penetration_rate_2018","penetration_rate_2019"
"1","Business Skills","Accounts Payable","Professional scientific and technical activities","Accounting",0.00719,0.00702,0.00641,0.00704,0.01141
"2","Business Skills","Accounts Payable","Professional scientific and technical activities","Law Practice",0.00244,0.00225,0.00201,0.00171,0.00531
"3","Business Skills","Accounts Payable","Professional scientific and technical activities","Executive Office",0.00222,0.00151,0.00166,0.00115,0.00337
"4","Business Skills","Accounts Payable","Manufacturing","Packaging & Containers",0.00132,0.00091,0.00041,0.00071,0.00145
"5","Business Skills","Accounts Payable","Mining and quarrying","Oil & Energy",0.00132,0.00113,0.00105,0.00123,0.00253
"6","Business Skills","Accounts Payable","Manufacturing","Printing",0.00128,0.00055,0.00066,0.00034,0.00097
"7","Business Skills","Accounts Payable","Manufacturing","Machinery",0.00112,0.00089,0.00077,0.00072,0.00239
"8","Business Skills","Accounts Payable","Financial and insurance activities","Venture Capital & Private Equity",0.00102,0.00073,0.00065,0.00051,0.00298
"9","Business Skills","Accounts Payable","Manufacturing","Plastics",0.00094,0.00077,0.00043,0.00045,0.00186
"10","Business Skills","Accounts Payable","Professional scientific and technical activities","Legal Services",0.00092,0.00077,0.00074,0.00087,0.00264
"11","Business Skills","Accounts Payable","Manufacturing","Textiles",0.00083,0.00063,0.00031,0.00065,0.00192
"12","Business Skills","Accounts Payable","Mining and quarrying","Mining & Metals",0.00081,0.00056,0.00054,0.00053,0.00194
"13","Business Skills","Accounts Payable","Professional scientific and technical activities","Mechanical Or Industrial Engineering",0.00077,0.00075,0.00049,0.00075,0.00209
"14","Business Skills","Accounts Payable","Manufacturing","Electrical & Electronic Manufacturing",0.00075,0.00076,0.00069,0.00074,0.00194
"15","Business Skills","Accounts Payable","Manufacturing","Food Production",0.00075,0.00077,0.00069,0.00083,0.00245
"16","Business Skills","Accounts Payable","Professional scientific and technical activities","Environmental Services",0.00073,0.00055,0.00059,0.00051,0.00144
"17","Business Skills","Accounts Payable","Manufacturing","Automotive",0.00071,0.00079,0.00069,0.00073,0.00217
"18","Business Skills","Accounts Payable","Information and communication","Information Technology & Services",0.00066,0.00079,0.00088,0.001,0.00193
"19","Business Skills","Accounts Payable","Professional scientific and technical activities","Architecture & Planning",0.00061,0.00049,0.00076,0.00048,9e-04
"20","Business Skills","Accounts Payable","Manufacturing","Industrial Automation",6e-04,0.00065,0.00027,0.00028,0.00095
"21","Business Skills","Accounts Payable","Manufacturing","Chemicals",0.00057,5e-04,0.00054,0.00037,0.00214
"22","Business Skills","Accounts Payable","Information and communication","Telecommunications",0.00055,0.00054,0.00046,0.00054,0.00134
"23","Business Skills","Accounts Payable","Information and communication","Computer Software",0.00053,0.00043,0.00042,0.00053,0.00103
"24","Business Skills","Accounts Payable","Professional scientific and technical activities","Outsourcing/Offshoring",0.00052,0.00053,0.00038,0.00064,0.00116
"25","Business Skills","Accounts Payable","Professional scientific and technical activities","Marketing & Advertising",0.00051,0.00053,0.00042,0.00056,0.00112
"26","Business Skills","Accounts Payable","Professional scientific and technical activities","Biotechnology",5e-04,4e-04,0.00024,0.00038,0.00097
"27","Business Skills","Accounts Payable","Arts, entertainment and recreation","Health, Wellness & Fitness",0.00049,0.00042,0.00032,4e-04,0.00104
"28","Business Skills","Accounts Payable","Financial and insurance activities","Financial Services",0.00048,0.00059,6e-04,0.00077,0.0017
"29","Business Skills","Accounts Payable","Financial and insurance activities","Insurance",0.00046,0.00042,0.00035,0.00054,0.00109
"30","Business Skills","Accounts Payable","Manufacturing","Paper & Forest Products",0.00044,0.00014,0.00031,0.00022,0.00048
"31","Business Skills","Accounts Payable","Information and communication","Computer Hardware",0.00037,0.00014,0.00029,0.00021,0.00086
"32","Business Skills","Accounts Payable","Manufacturing","Pharmaceuticals",0.00036,0.00032,0.00034,0.00042,0.00109
"33","Business Skills","Accounts Payable","Professional scientific and technical activities","Management Consulting",0.00035,0.00045,4e-04,0.00042,0.00137
"34","Business Skills","Accounts Payable","Manufacturing","Aviation & Aerospace",0.00034,0.00027,0.00028,0.00015,0.00084
"35","Business Skills","Accounts Payable","Arts, entertainment and recreation","Entertainment",0.00031,0.00027,0.00019,0.00024,0.00082
"36","Business Skills","Accounts Payable","Financial and insurance activities","Investment Management",0.00028,0.00061,0.00075,0.00056,0.00155
"37","Business Skills","Accounts Payable","Professional scientific and technical activities","Events Services",0.00028,0.00031,0.00024,0.00029,0.00096
"38","Business Skills","Accounts Payable","Information and communication","Publishing",0.00027,2e-04,0.00014,0.00023,0.00068
"39","Business Skills","Accounts Payable","Information and communication","Internet",0.00027,0.00028,0.00023,0.00026,6e-04
"40","Business Skills","Accounts Payable","Manufacturing","Renewables & Environment",0.00027,0.00036,0.00021,0.00032,0.00133
"41","Business Skills","Accounts Payable","Information and communication","Broadcast Media",0.00023,0.00013,1e-04,0.00015,0.00055
"42","Business Skills","Accounts Payable","Financial and insurance activities","Banking",0.00023,0.00018,0.00021,0.00024,0.00065
"43","Business Skills","Administrative Assistance","Professional scientific and technical activities","Executive Office",0.01143,0.01338,0.01949,0.01929,0.04416
"44","Business Skills","Administrative Assistance","Professional scientific and technical activities","Veterinary",0.0071,0.0055,0.00541,0.0066,0.01451
"45","Business Skills","Administrative Assistance","Professional scientific and technical activities","Law Practice",0.00423,0.00514,0.00829,0.00888,0.02704
"46","Business Skills","Administrative Assistance","Professional scientific and technical activities","Legal Services",0.00416,0.00502,0.00768,0.0082,0.01983
"47","Business Skills","Administrative Assistance","Financial and insurance activities","Venture Capital & Private Equity",0.00374,0.0044,0.00326,0.00558,0.01293
"48","Business Skills","Administrative Assistance","Professional scientific and technical activities","Accounting",0.00287,0.00332,0.00487,0.00509,0.01141
"49","Business Skills","Administrative Assistance","Arts, entertainment and recreation","Health, Wellness & Fitness",0.00239,0.00241,0.0028,0.00318,0.00935
"50","Business Skills","Administrative Assistance","Financial and insurance activities","Investment Management",0.00228,0.00245,0.00264,0.00352,0.00945
"51","Business Skills","Administrative Assistance","Professional scientific and technical activities","Outsourcing/Offshoring",0.00173,0.00159,0.00265,0.00334,0.00913
