"","country_code","country_name","wb_region","wb_income","isic_section_index","isic_section_name","industry_id","industry_name","growth_rate_2015","growth_rate_2016","growth_rate_2017","growth_rate_2018","growth_rate_2019"
"1","ae","United Arab Emirates","Middle East & North Africa","High income","B","Mining and quarrying",56,"Mining & Metals","7.80%","5.85%","4.34%","1.00%","-0.06%"
"2","ae","United Arab Emirates","Middle East & North Africa","High income","B","Mining and quarrying",57,"Oil & Energy","3.30%","1.35%","1.75%","1.85%","2.26%"
"3","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",15,"Pharmaceuticals","17.14%","13.70%","9.06%","4.81%","2.84%"
"4","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",23,"Food Production","6.34%","3.86%","2.21%","0.60%","0.43%"
"5","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",52,"Aviation & Aerospace","9.66%","5.67%","2.87%","1.50%","0.08%"
"6","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",53,"Automotive","7.82%","5.51%","2.98%","0.62%","0.20%"
"7","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",54,"Chemicals","12.64%","9.81%","6.71%","2.93%","1.23%"
"8","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",55,"Machinery","9.71%","7.51%","3.22%","2.37%","0.11%"
"9","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",58,"Shipbuilding","5.26%","2.80%","-0.10%","0.10%","-0.19%"
"10","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",60,"Textiles","10.18%","7.38%","5.11%","-0.86%","-0.43%"
"11","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",61,"Paper & Forest Products","7.41%","7.32%","3.66%","3.93%","3.68%"
"12","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",83,"Printing","4.59%","1.82%","0.40%","0.49%","-0.15%"
"13","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",112,"Electrical & Electronic Manufacturing","8.35%","7.13%","4.41%","1.79%","0.51%"
"14","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",117,"Plastics","2.49%","-0.39%","-2.03%","-2.25%","-1.20%"
"15","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",144,"Renewables & Environment","9.63%","9.80%","8.40%","5.90%","-0.10%"
"16","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",145,"Glass, Ceramics & Concrete","3.62%","4.45%","3.06%","2.26%","0.84%"
"17","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",146,"Packaging & Containers","9.49%","7.37%","3.69%","2.51%","0.47%"
"18","ae","United Arab Emirates","Middle East & North Africa","High income","C","Manufacturing",147,"Industrial Automation","10.71%","8.01%","5.28%","4.48%","2.94%"
"19","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",3,"Computer Hardware","-2.14%","1.49%","-0.81%","-0.81%","-0.13%"
"20","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",4,"Computer Software","21.52%","18.07%","13.49%","9.04%","3.58%"
"21","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",5,"Computer Networking","19.41%","5.72%","4.31%","3.58%","5.50%"
"22","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",6,"Internet","34.94%","26.06%","17.69%","13.28%","10.88%"
"23","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",7,"Semiconductors","7.08%","4.14%","0.67%","1.01%","-0.99%"
"24","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",8,"Telecommunications","11.98%","10.51%","3.73%","2.33%","0.19%"
"25","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",35,"Motion Pictures & Film","5.74%","5.43%","-1.18%","-3.01%","0.24%"
"26","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",36,"Broadcast Media","3.63%","4.58%","2.68%","-1.31%","-2.52%"
"27","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",81,"Newspapers","2.37%","-1.21%","1.41%","0.35%","-1.97%"
"28","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",82,"Publishing","2.11%","-1.68%","-1.67%","-3.93%","-0.36%"
"29","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",96,"Information Technology & Services","21.71%","15.29%","10.44%","6.11%","2.80%"
"30","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",103,"Writing & Editing","12.96%","8.22%","3.48%","2.07%","1.56%"
"31","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",109,"Computer Games","16.29%","17.88%","8.70%","5.35%","-0.50%"
"32","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",113,"Online Media","0.95%","2.79%","5.72%","7.29%","0.66%"
"33","ae","United Arab Emirates","Middle East & North Africa","High income","J","Information and communication",118,"Computer & Network Security","19.44%","13.48%","11.92%","7.79%","3.60%"
